Well,average_frequency_b.sgy,average_ksi.sgy,average_time.sgy,both_stau.sgy,both_stime.sgy,difr smax dev reflect.sgy,ksi_psi.sgy,KgAver300
TRAIN,-5.92311,-5.0119,39.357,0.661037,157.0,0.24168535,-0.319128,0.5569075902287446
TRAIN,-9.53907,-4.15588,35.1334,0.663154,252.0,0.22893879,-0.189185,0.5574955516795225
TRAIN,-16.9252,-4.99572,34.0526,0.663351,178.0,0.24291296,-0.427356,0.5574955516795225
TRAIN,-6.00144,-6.36033,35.8868,0.666584,179.0,0.22206497,-0.370094,0.5574955516795225
TRAIN,-46.1069,-5.04042,41.3564,0.669482,251.0,0.22612743,-0.247448,0.5574955516795225
TRAIN,-32.7627,-6.69997,40.5311,0.667561,251.0,0.23288596,-0.283482,0.5574955516795225
TRAIN,0.396915,-4.88233,36.9481,0.669707,227.0,0.22151098,-0.374301,0.5763009025667406
TRAIN,-11.2594,-5.02183,40.648,0.670537,250.0,0.21234614,-0.324291,0.6162211761077325
TRAIN,-13.0017,-5.57674,46.1291,0.664268,249.0,0.21368967,-0.335451,0.8243186774035256
TRAIN,-18.7666,-4.62234,39.3719,0.66482,250.0,0.21215844,-0.307933,0.8243186774035256
TRAIN,-6.48485,-4.70308,37.6902,0.667232,250.0,0.16312437,-0.329982,0.8243186774035256
TRAIN,-2.21622,-4.33348,36.8591,0.664193,250.0,0.18256292,-0.326192,0.6303359195561217
TRAIN,-18.3667,-3.97982,36.982,0.665435,251.0,0.18172258,-0.419026,0.8243186774035256
TRAIN,-28.0632,-4.5246,33.8428,0.670116,251.0,0.1565097,-0.330588,0.6192576028803484
TRAIN,14.8413,-5.26926,35.0523,0.668085,250.0,0.14825593,-0.333051,0.6192576028803484
TRAIN,-39.5033,-4.80385,37.5446,0.666129,251.0,0.18441673,-0.351795,0.607758796105413
TRAIN,-24.9453,-4.06273,35.2802,0.664739,251.0,0.16850677,-0.255844,0.6001047985594419
TRAIN,-21.9961,-5.52925,37.6002,0.666781,251.0,0.19827418,-0.359054,0.5837514701659908
TRAIN,-23.1548,-5.27728,33.6371,0.663931,250.0,0.19768964,-0.363623,0.6001047985594419
TRAIN,-33.2682,-2.55655,35.7634,0.661871,250.0,0.1854948,-0.418284,0.6001047985594419
TRAIN,-30.0057,-4.92455,39.3226,0.663566,252.0,0.22819965,-0.278924,0.4579167992279028
TRAIN,-3.32423,-4.95172,32.37,0.667521,252.0,0.1981757,-0.344441,0.6001047985594419
TRAIN,-1.26864,-4.90207,33.6747,0.662218,252.0,0.1743195,-0.311052,0.5230640869633238
TRAIN,5.81635,-6.38564,35.2541,0.667479,252.0,0.21122861,-0.252515,0.4579167992279028
TRAIN,-25.6837,-4.92771,34.0599,0.659658,156.0,0.21460663,-0.291961,0.6454116901300108
TRAIN,-16.0916,-4.53521,31.5691,0.669793,253.0,0.18851057,-0.200079,0.5230640869633238
TRAIN,-9.63217,-4.43443,35.7039,0.665238,248.0,0.22126548,-0.212236,0.6454116901300108
TRAIN,-42.419,-2.5884,31.2832,0.659236,158.0,0.2840785,-0.571508,0.8984668403665962
TRAIN,29.4943,-1.74161,36.5354,0.656891,169.0,0.26116264,-0.466555,0.8748827899653051
TRAIN,-59.536,-1.10521,33.463,0.66486,159.0,0.27219275,-0.483862,0.8748827899653051
TRAIN,-30.2666,-1.32346,33.1313,0.665738,169.0,0.31020784,-0.470558,0.8748827899653051
TRAIN,24.7813,-4.87596,38.4618,0.667573,158.0,0.28996274,-0.50854,0.8748827899653051
TRAIN,-30.0246,0.292056,36.4211,0.666575,252.0,0.24723186,-0.366062,0.7892381570006279
TRAIN,-82.9387,-3.5526,36.2449,0.668419,157.0,0.2923679,-0.398165,0.7892381570006279
